feature,gain
road_mean,16939.85837726225
RoadType,3847.3464986031177
geo_mean,2302.7595394559903
geo_median,940.0784360717516
geo_tod_mean,840.621320772334
geo_mean_smooth,604.4714262918569
geohash,545.3467463363195
tod_mean,333.3971725051524
hour_sin,275.6113841147162
tod_std,242.23802711057942
tod,197.5840404793853
tod_sin,191.03340367798228
large_veh_bin,175.77960748993792
geo_std,148.60013523942325
tod_cos,122.7431904708501
geo_min,112.41905754059553
geo_max,112.22835305263288
day,78.16237108712085
lon,75.2681466685608
geo_cnt,51.99436677270569
NumberofLanes,48.63689259078819
hour,44.00143678067252
lat,43.184720963356085
roadtype_missing,41.41575927019585
Temperature,39.16583360894583
hour_cos,36.78573690506164
landmarks_bin,9.30800788407214
geo_freq,6.3163533847546205
minute,2.9471124679548666
Weather,1.7330922160763294
weather_missing,0.0025793700478971004
temp_missing,0.0
