feature,gain
road_mean,12224.239218900097
RoadType,3473.4424997395836
geo_mean,1574.8070249559823
geo_median,675.1919333927799
geohash,554.7769066332839
road_tod_mean,442.74834351055324
geo_mean_smooth,253.66642664303072
hour_sin,174.64296654681675
tod_mean,145.95557494286913
tod_std,129.04621460137423
tod,100.3536187573336
tod_sin,85.12002108164597
geo_tod_mean,80.41063824214507
geo_std,72.41077681700699
geo_max,70.76798901124857
tod_cos,59.50028727040626
geo_min,59.292960168328136
lon,28.878319184295833
lanes_tod_mean,23.940289160469547
geo_cnt,20.4228361453861
lat,18.96119214501232
Temperature,14.990601044497453
hour,14.232919812900946
hour_cos,13.092335830908269
day,12.806565932463855
roadtype_missing,7.67340091150254
geo_freq,5.922215452766977
NumberofLanes,4.484347836114466
large_veh_bin,4.1136203170754015
Weather,0.7230693488381803
minute,0.63094158959575
landmarks_bin,0.4634113539941609
temp_missing,0.0
weather_missing,0.0
