feature,gain
road_mean,13420.851504925173
RoadType,2408.890980009921
geo_mean,1243.2864023004659
geo_median,563.7617631689645
geohash,539.0742574664764
geo_tod_mean,500.479396258248
geo_mean_smooth,361.5299403737299
tod_mean,190.98401085101068
hour_sin,189.708841804415
tod_std,162.63252694066614
tod_sin,92.28858879045583
tod,89.08736679400317
geo_std,72.48480766871944
tod_cos,60.85705005121417
day,56.49201380740851
geo_min,52.69593345094472
geo_max,51.684301565401256
large_veh_bin,27.84977726638317
roadtype_missing,25.606155006214976
geo_cnt,23.69522832054645
lon,23.237882773857564
hour_cos,19.486682477407157
lat,14.259607079438865
hour,13.27870595594868
Temperature,6.692632749211043
NumberofLanes,4.632014503702521
geo_freq,3.309623349457979
Weather,0.20814490038901567
landmarks_bin,0.17096445756033063
minute,0.08475753990933299
weather_missing,0.0
temp_missing,0.0
