feature,gain
road_mean,10071.408845611848
RoadType,2796.372125274036
road_tod_mean,1729.725948242005
geo_mean,1294.4654497755691
geo_mean_smooth,468.75812178105116
geo_median,375.98178812256083
geohash,375.9638037113473
geo_vs_road,254.3534890175797
tod_mean,150.96918332669884
tod_std,129.48180825682357
tod,90.9890746185556
geo_std,61.733022178988904
geo_min,44.23273821454495
geo_max,38.67500811535865
morning_mean,35.80270582810044
tod_cos,31.87625035829842
lanes_tod_mean,26.8214448178187
tod_sin,24.778272894676775
hour_sin,13.885047097224742
lon,10.926607912406325
geo_cnt,10.895542453043163
hour,9.380921343807131
day_shift,6.599753314629197
geo_vs_gh5,6.296406504698098
roadtype_missing,5.704243626445532
lat,4.775438830722123
Temperature,4.6877729198895395
hour_cos,4.555731463711709
geo_freq,3.356890202499926
gh5_std,2.17017643712461
gh5_mean,1.9587479708716273
NumberofLanes,1.8154884004034102
large_veh_bin,1.4159886948764324
gh4_mean,1.1528188968077302
landmarks_bin,0.2619239711202681
Weather,0.08042404148727655
minute,0.07024584943428636
day,0.0
weather_missing,0.0
temp_missing,0.0
geo_tod_mean,0.0
geo_hour_mean,0.0
scaled_lag,0.0
