iter	Passed	Remaining
0	544	816118
1	921	690009
2	1359	678434
3	1712	640574
4	2054	614196
5	2480	617594
6	2849	607703
7	3293	614218
8	3784	627032
9	4146	617761
10	4917	665670
11	5501	682189
12	5967	682553
13	6318	670619
14	6816	674837
15	7392	685683
16	7769	677800
17	8187	674065
18	8641	673580
19	9053	669951
20	9391	661418
21	9736	654110
22	10078	647236
23	10435	641764
24	10785	636326
25	11115	630139
26	11470	625786
27	11848	622891
28	12215	619606
29	12550	614990
30	13940	660600
31	14521	666163
32	14904	662590
33	15277	658728
34	15637	654552
35	15998	650615
36	16409	648843
37	16729	643635
38	17071	639531
39	17453	637055
40	17935	638234
41	18370	637717
42	19041	645189
43	19419	642606
44	20068	648871
45	20433	645887
46	20914	646573
47	21760	658261
48	22177	656721
49	22534	653512
50	22937	651687
51	23264	647835
52	23667	646180
53	24044	643855
54	24595	646191
55	24922	642647
56	25291	640273
57	25634	637331
58	26232	640706
59	26671	640123
60	27007	637116
61	27454	636778
62	27842	635071
63	28200	632738
64	28533	629928
65	28895	627813
66	29237	625341
67	29734	626167
68	30296	628321
69	30630	625735
70	31011	624161
71	31373	622234
72	31738	620421
73	32314	622703
74	32671	620762
75	33073	619685
76	33514	619367
77	33860	617304
78	34255	616173
79	34591	614005
80	34925	611834
81	35273	609970
82	35604	607845
83	35985	606610
84	36320	604633
85	37032	608882
86	37576	610294
87	38550	618557
88	39149	620668
89	39570	619945
90	39974	618952
91	40482	619560
92	40865	618258
93	41337	618301
94	41742	617352
95	42083	615476
96	42455	614070
97	42838	612848
98	43240	611917
99	43591	610276
100	43946	608726
101	44330	607590
102	44680	606010
103	45009	604167
104	45466	604055
105	45806	602397
106	46140	600691
107	46522	599623
108	46973	599444
109	47349	598326
110	47691	596791
111	54518	675637
112	55059	675818
113	55841	678915
114	56287	677900
115	56782	677475
116	57239	676603
117	57720	676009
118	58488	678756
119	59109	679760
120	59751	680964
121	60280	680872
122	60748	680086
123	61467	682088
124	62256	684825
125	62689	683611
126	63045	681585
127	63045	681585
128	63582	681028
129	63964	679309
130	64250	676605
131	64430	672828
132	64601	669017
133	64780	665336
134	64949	661607
135	69157	698751
136	70936	710930
137	72122	717016
138	74063	730436
139	75113	734925
140	75772	735536
141	76368	735518
142	77018	736013
143	77720	736982
144	78263	736440
145	78655	734482
146	79115	733171
147	79607	732168
148	80033	730579
149	80456	728971
150	80912	727670
151	81313	725894
152	81761	724555
153	82167	722855
154	82631	721684
155	82973	719456
156	83274	716909
157	83627	714830
158	84018	713090
159	84375	711088
160	84753	709283
161	85109	707303
162	85447	705208
163	86037	705191
164	86612	705049
165	87108	704260
166	87535	702920
167	87959	701572
168	88332	699828
169	88872	699409
170	89356	698554
171	89785	697284
172	90314	696787
173	90755	695618
174	91227	694689
175	91604	693056
176	91954	691224
177	92320	689536
178	92690	687887
179	93048	686171
180	93394	684372
181	93761	682749
182	94155	681331
183	94555	679973
184	94955	678623
185	95373	677410
186	95749	675912
187	96179	674797
188	96577	673472
189	96932	671862
190	97343	670642
191	97726	669246
192	98108	667855
193	98555	666906
194	98926	665461
195	99320	664172
196	99721	662943
197	100096	661550
198	100474	660189
199	100859	658883
200	101221	657432
201	101588	656026
202	101926	654447
203	102292	653062
204	102715	652044
205	103293	652011
206	103891	652094
207	104286	650907
208	104594	649190
209	104967	647888
210	105424	647107
211	105763	645609
212	106157	644454
213	106562	643377
214	106961	642268
215	107295	640779
216	107649	639420
217	107984	637954
218	108322	636516
219	108659	635085
220	108978	633560
221	109309	632114
222	109660	630793
223	109995	629390
224	110334	628020
225	110641	626473
226	110993	625196
227	111316	623763
228	111634	622312
229	111999	621132
230	112317	619702
231	112649	618351
232	112972	616966
233	113366	615971
234	113721	614774
235	114057	613484
236	114409	612282
237	114725	610899
238	115050	609572
239	115390	608332
240	115723	607068
241	116058	605815
242	116407	604643
243	116725	603322
244	117044	602013
245	117413	600964
246	117772	599873
247	118100	598631
248	118429	597401
249	118777	596270
250	119112	595087
251	119428	593810
252	119764	592642
253	120073	591351
254	120390	590105
255	120691	588784
256	121007	587546
257	121325	586329
258	121648	585141
259	122004	584112
260	122348	583039
261	122655	581791
262	122995	580706
263	123323	579571
264	123630	578347
265	123968	577269
266	124305	576198
267	124623	575042
268	124922	573806
269	125283	572856
270	125637	571884
271	125959	570768
272	126291	569703
273	126624	568652
274	126782	566819
275	127119	565798
276	127452	564761
277	127774	563683
278	128196	563052
279	128814	563273
280	129473	563672
281	130107	563955
282	130615	563682
283	131129	563439
284	131592	562975
285	131941	562025
286	132258	560943
287	132575	559864
288	132878	558734
289	133233	557828
290	133575	556873
291	133914	555906
292	134250	554931
293	134557	553844
294	134876	552809
295	135197	551790
296	135508	550731
297	135843	549776
298	136141	548678
299	136442	547596
300	138309	552776
301	138659	551873
302	139023	551031
303	139322	549934
304	139626	548860
305	139803	547296
306	140399	547376
307	140563	545772
308	140735	544209
309	140926	542727
310	141179	541492
311	141355	539968
312	141538	538482
313	141723	537011
314	141939	535663
315	144211	542053
316	145471	544596
317	145855	543853
318	146243	543125
319	146591	542251
320	148234	546151
321	148822	546146
322	149150	545188
323	149483	544247
324	149806	543278
325	150080	542136
326	150402	541171
327	150585	539711
328	150924	538819
329	151247	537872
330	151562	536896
331	151895	535992
332	154690	543746
333	155442	544281
334	155868	543673
335	156191	542707
336	156582	541979
337	156935	541126
338	158446	544250
339	159034	544187
340	159328	543123
341	159616	542040
342	159988	541246
343	160307	540278
344	160653	539404
345	160972	538442
346	161295	537495
347	161613	536539
348	161947	535636
349	163478	538681
350	163619	537138
351	163915	536110
352	164280	535311
353	164680	534628
354	164971	533595
355	165436	533124
356	165776	532255
357	166175	531576
358	166516	530713
359	166851	529833
360	167153	528854
361	168098	529905
362	168451	529086
363	168852	528420
364	169206	527606
365	169576	526849
366	169881	525889
367	170048	524509
368	170253	523253
369	170424	521895
370	170828	521258
371	171066	520114
372	171310	518996
373	171504	517731
374	171763	516667
375	172016	515590
376	172300	514609
377	172610	513710
378	172900	512755
379	173019	511298
380	173290	510294
381	173629	509496
382	173898	508494
383	174080	507243
384	174378	506333
385	174727	505576
386	175052	504748
387	175416	504038
388	175830	503472
389	176170	502696
390	176538	502003
391	176921	501354
392	177318	500743
393	177630	499897
394	177948	499069
395	178239	498167
396	178550	497327
397	178848	496450
398	179178	495668
399	179477	494800
400	179772	493924
401	180064	493045
402	180397	492280
403	180701	491436
404	180992	490560
405	181330	489815
406	189090	509054
407	191463	513706
408	194042	518872
409	195347	520607
410	196016	520637
411	196517	520222
412	196919	519542
413	197347	518932
414	197722	518186
415	197998	517181
416	198384	516466
417	198751	515704
418	199051	514772
419	199447	514089
420	199739	513139
421	199999	512113
422	200244	511050
423	200539	510118
424	200778	509049
425	201053	508074
426	201321	507084
427	201589	506098
428	201843	505080
429	202090	504047
430	202390	503152
431	202682	502238
432	202965	501305
433	203191	500235
434	203493	499356
435	203681	498199
436	203937	497214
437	204209	496271
438	204458	495276
