epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.3436,1.21787,2.86731,1.19976,0.70311,0.76696,0.66508,0.41352,1.24699,2.9309,1.3277,0.000657658,0.000657658,0.000657658
2,105.417,1.20111,0.93849,1.1652,0.64081,0.51622,0.50985,0.2525,1.98416,2.83849,1.63923,0.00131121,0.00131121,0.00131121
3,132.231,1.20787,0.91854,1.15662,0.81229,0.8808,0.86962,0.56462,1.16028,1.01396,1.2083,0.00195157,0.00195157,0.00195157
4,160.197,1.17642,0.83116,1.14028,0.73891,0.55752,0.62348,0.35957,1.45239,3.91628,1.365,0.0019406,0.0019406,0.0019406
5,186.585,1.17689,0.79737,1.13878,0.0021,0.0177,9e-05,2e-05,4.12906,6.27513,3.27017,0.0019208,0.0019208,0.0019208
6,212.547,1.12045,0.77546,1.12042,0.9001,0.83776,0.90866,0.60344,1.16968,0.8284,1.19706,0.001901,0.001901,0.001901
7,240.061,1.12645,0.74399,1.12454,0.88575,0.89191,0.94175,0.63932,1.06271,0.94062,1.11285,0.0018812,0.0018812,0.0018812
8,267.952,1.06478,0.6832,1.08485,0.94073,0.93635,0.95972,0.69879,1.00571,0.76244,1.06501,0.0018614,0.0018614,0.0018614
9,296.087,1.11265,0.70358,1.10328,0.92432,0.90855,0.93177,0.63693,1.03876,0.67794,1.0866,0.0018416,0.0018416,0.0018416
10,322.682,1.03175,0.66537,1.06313,0.92842,0.87316,0.91817,0.63167,1.09568,0.75471,1.12742,0.0018218,0.0018218,0.0018218
11,349.258,1.03431,0.65375,1.05782,0.95596,0.9056,0.95839,0.69409,0.97225,0.62254,1.0457,0.001802,0.001802,0.001802
12,375.875,1.04943,0.66375,1.07768,0.94818,0.90265,0.96209,0.66807,1.06886,0.69982,1.12393,0.0017822,0.0017822,0.0017822
13,401.613,1.0017,0.63307,1.06103,0.93069,0.95066,0.9567,0.70083,0.96999,0.67444,1.03719,0.0017624,0.0017624,0.0017624
14,429.407,1.01781,0.63467,1.06247,0.94088,0.89201,0.94749,0.654,1.06787,0.6306,1.09612,0.0017426,0.0017426,0.0017426
15,455.927,1.00715,0.60192,1.04308,0.96932,0.93189,0.96253,0.68108,1.01747,0.62467,1.06037,0.0017228,0.0017228,0.0017228
16,482.93,0.98526,0.61911,1.04075,0.94984,0.94966,0.96217,0.70226,0.98932,0.64299,1.05846,0.001703,0.001703,0.001703
17,510.664,0.9822,0.60245,1.03646,0.95546,0.93805,0.9555,0.714,0.94898,0.58099,1.03556,0.0016832,0.0016832,0.0016832
18,538.659,0.97988,0.60316,1.04491,0.96312,0.92625,0.95888,0.70459,0.97234,0.55063,1.0565,0.0016634,0.0016634,0.0016634
19,565.198,0.94554,0.56084,1.02357,0.92551,0.95293,0.96196,0.68933,1.01319,0.62215,1.07059,0.0016436,0.0016436,0.0016436
20,591.214,0.95419,0.56891,1.03776,0.9559,0.941,0.96497,0.71397,0.96792,0.53373,1.04561,0.0016238,0.0016238,0.0016238
21,617.221,0.93881,0.55548,1.02143,0.95444,0.941,0.96551,0.72263,0.92704,0.57916,1.02827,0.001604,0.001604,0.001604
22,645.13,0.93398,0.54888,1.01732,0.95978,0.93805,0.95582,0.6853,0.96538,0.56038,1.03639,0.0015842,0.0015842,0.0015842
23,671.749,0.93737,0.56553,1.0203,0.96167,0.941,0.96136,0.6998,0.94855,0.5518,1.03015,0.0015644,0.0015644,0.0015644
24,698.624,0.95371,0.56592,1.01892,0.95835,0.95014,0.96348,0.70902,0.94258,0.55277,1.02495,0.0015446,0.0015446,0.0015446
25,725.619,0.94866,0.55279,1.02474,0.96643,0.941,0.9704,0.71156,0.95969,0.54281,1.04365,0.0015248,0.0015248,0.0015248
26,751.725,0.90944,0.53425,1.02106,0.96946,0.9469,0.96457,0.72557,0.91449,0.53277,1.00795,0.001505,0.001505,0.001505
27,779.187,0.91269,0.53863,1.01,0.96405,0.94934,0.97795,0.73973,0.88664,0.48141,0.99588,0.0014852,0.0014852,0.0014852
28,807.886,0.88944,0.52105,1.00113,0.97235,0.93353,0.95972,0.70839,0.92362,0.54415,1.01379,0.0014654,0.0014654,0.0014654
29,835.291,0.88555,0.50137,0.99121,0.96387,0.94426,0.9679,0.73304,0.9068,0.5212,0.99783,0.0014456,0.0014456,0.0014456
30,862.079,0.87296,0.50221,0.99078,0.95512,0.95575,0.96584,0.72309,0.92072,0.53444,0.99772,0.0014258,0.0014258,0.0014258
31,889.355,0.8672,0.50835,0.986,0.96266,0.9528,0.96534,0.74027,0.89705,0.50603,1.00255,0.001406,0.001406,0.001406
32,917.928,0.87472,0.49604,0.98726,0.97576,0.95,0.96394,0.72707,0.90016,0.53036,0.99642,0.0013862,0.0013862,0.0013862
33,944.689,0.89664,0.48319,0.99296,0.94671,0.96755,0.98028,0.72818,0.90821,0.48431,0.9874,0.0013664,0.0013664,0.0013664
